symbol,date,open,high,low,close,volume,trade_count,vwap,feed,adjustment
AMAT,2025-09-02,156.02,157.6,155.32,156.87,7683373,123087,156.48,sip,all
AMAT,2025-09-03,157.35,157.35,153.78,155.56,7335044,114603,155.03,sip,all
AMAT,2025-09-04,155.25,158.96,154.71,157.54,6245060,96784,157.49,sip,all
AMAT,2025-09-05,159.55,162.13,158.12,162.03,7044039,103016,160.58,sip,all
AMAT,2025-09-08,163.08,163.91,161.13,161.33,7933594,92671,162.29,sip,all
AMAT,2025-09-09,161.2,163.53,161.03,162.77,5315373,79980,162.62,sip,all
AMAT,2025-09-10,163.57,164.67,161.83,162.69,5690240,95509,162.8,sip,all
AMAT,2025-09-11,163.27,169.9,163.27,169.4,7956963,140099,168.74,sip,all
AMAT,2025-09-12,167.16,168.92,166.44,167.06,5170573,90495,167.34,sip,all
AMAT,2025-09-15,168.36,170.3,167.78,170.17,5597644,91334,169.65,sip,all
AMAT,2025-09-16,171.69,173.33,170.82,172.77,6447519,108256,172.39,sip,all
AMAT,2025-09-17,173.48,178.75,173.2,177.34,9588307,150545,176.97,sip,all
AMAT,2025-09-18,187.17,190.7,183.01,188.92,15473653,231789,188.24,sip,all
AMAT,2025-09-19,189.97,191.0,187.82,189.26,18903501,126748,189.38,sip,all
AMAT,2025-09-22,192.33,200.26,191.58,199.63,15475542,192782,198.05,sip,all
AMAT,2025-09-23,200.34,203.19,197.92,199.98,12417874,171794,200.72,sip,all
AMAT,2025-09-24,198.2,202.85,196.52,200.55,6360493,114705,200.21,sip,all
AMAT,2025-09-25,198.16,199.83,195.33,198.71,6027565,101050,198.18,sip,all
AMAT,2025-09-26,199.11,204.29,196.51,203.02,7363317,124856,202.02,sip,all
AMAT,2025-09-29,205.42,209.57,203.77,204.04,9295427,140634,205.36,sip,all
AMAT,2025-09-30,203.45,209.34,201.97,203.83,12253833,162690,204.44,sip,all
AMAT,2025-10-01,203.83,217.47,202.71,216.77,12699236,199403,213.52,sip,all
AMAT,2025-10-02,224.0,225.41,217.76,222.6,11166002,179886,221.19,sip,all
AMAT,2025-10-03,218.93,219.52,214.64,216.56,9269817,175090,217.03,sip,all
AMAT,2025-10-06,221.35,225.49,219.79,222.92,7891854,139665,223.72,sip,all
AMAT,2025-10-07,222.92,223.83,210.33,210.62,10543323,165833,213.9,sip,all
AMAT,2025-10-08,209.07,217.68,208.07,216.54,7875462,126298,214.68,sip,all
AMAT,2025-10-09,216.04,219.88,214.55,219.32,6701398,119397,218.0,sip,all
AMAT,2025-10-10,219.72,223.47,208.8,209.02,12829661,184045,213.56,sip,all
AMAT,2025-10-13,219.37,220.15,216.07,218.51,7853006,124645,218.39,sip,all
AMAT,2025-10-14,212.95,220.67,212.76,217.22,8260006,111704,217.85,sip,all
AMAT,2025-10-15,222.96,227.09,219.54,226.57,8033603,128455,224.88,sip,all
AMAT,2025-10-16,229.57,231.04,223.04,226.71,7742842,122547,226.64,sip,all
AMAT,2025-10-17,225.47,226.35,221.71,223.99,5272810,85994,224.09,sip,all
AMAT,2025-10-20,226.14,230.3,225.52,227.12,5494792,95808,227.83,sip,all
AMAT,2025-10-21,224.92,227.15,224.21,225.0,4557482,65165,225.35,sip,all
AMAT,2025-10-22,225.0,225.76,215.11,219.58,7498073,105312,219.58,sip,all
AMAT,2025-10-23,217.42,229.53,217.15,227.46,7001931,100957,227.28,sip,all
AMAT,2025-10-24,227.98,229.7,225.29,227.73,5346676,92750,228.28,sip,all
AMAT,2025-10-27,231.97,234.74,230.1,230.3,7671598,99876,231.33,sip,all
AMAT,2025-10-28,228.66,229.99,226.07,226.63,6117130,94227,227.18,sip,all
AMAT,2025-10-29,231.87,236.34,230.97,234.7,7784456,120001,234.32,sip,all
AMAT,2025-10-30,236.72,241.42,231.05,231.52,7317726,117980,234.11,sip,all
AMAT,2025-10-31,232.7,236.85,229.43,232.07,6532964,98633,232.29,sip,all
AMAT,2025-11-03,234.62,238.73,232.96,236.66,6160630,95895,236.33,sip,all
AMAT,2025-11-04,230.39,235.92,228.75,229.17,6896422,108520,230.79,sip,all
AMAT,2025-11-05,229.17,240.84,229.08,239.82,7230832,117544,238.28,sip,all
AMAT,2025-11-06,239.7,239.7,231.9,232.49,9278439,127541,233.61,sip,all
AMAT,2025-11-07,231.23,231.49,222.39,229.05,6892795,124209,226.91,sip,all
AMAT,2025-11-10,235.18,235.49,231.03,234.04,7673744,89858,233.89,sip,all
AMAT,2025-11-11,231.54,232.22,225.99,227.66,6237600,88700,227.87,sip,all
AMAT,2025-11-12,230.2,230.81,227.88,229.71,5955373,87324,229.48,sip,all
AMAT,2025-11-13,226.38,227.98,218.66,222.24,13465856,181387,222.38,sip,all
AMAT,2025-11-14,202.85,225.16,202.5,225.01,15254389,215424,219.81,sip,all
AMAT,2025-11-17,223.21,230.68,222.26,227.7,8713644,120326,227.69,sip,all
AMAT,2025-11-18,225.48,226.61,218.45,224.12,12167355,145421,222.93,sip,all
AMAT,2025-11-19,226.28,234.86,225.49,234.09,8870502,129086,232.14,sip,all
AMAT,2025-11-20,238.19,240.16,218.42,219.68,9263965,134965,225.18,sip,all
AMAT,2025-11-21,218.66,227.59,214.96,223.45,8596770,118907,222.5,sip,all
AMAT,2025-11-24,222.31,232.62,222.31,230.34,8806555,100828,230.06,sip,all
AMAT,2025-11-25,236.96,244.01,232.56,241.86,8330341,115966,239.2,sip,all
AMAT,2025-11-26,242.23,252.03,242.23,249.35,8791060,124793,248.23,sip,all
AMAT,2025-11-28,250.17,251.85,247.23,251.62,2916326,50144,250.08,sip,all
AMAT,2025-12-01,249.61,255.15,247.91,254.12,6842394,96145,253.15,sip,all
AMAT,2025-12-02,254.99,266.39,254.99,264.67,9196769,131687,262.56,sip,all
AMAT,2025-12-03,264.64,268.48,259.06,267.96,7999577,101905,264.98,sip,all
AMAT,2025-12-04,267.67,272.09,265.34,268.77,6348761,92593,269.02,sip,all
AMAT,2025-12-05,269.12,272.91,266.7,267.33,5373412,87622,268.56,sip,all
AMAT,2025-12-08,268.83,271.48,265.88,267.49,5338147,87655,267.84,sip,all
AMAT,2025-12-09,265.41,268.04,264.07,266.48,4062592,70952,266.58,sip,all
AMAT,2025-12-10,266.11,275.41,265.2,274.47,6244572,96142,271.32,sip,all
AMAT,2025-12-11,270.55,271.31,262.18,269.44,7061221,114947,267.66,sip,all
AMAT,2025-12-12,266.6,269.04,256.49,258.57,6739294,127001,259.92,sip,all
AMAT,2025-12-15,262.78,265.03,259.14,260.62,6405964,99418,261.42,sip,all
AMAT,2025-12-16,259.14,260.93,254.67,258.2,5859741,94024,257.71,sip,all
AMAT,2025-12-17,257.52,259.45,246.31,247.65,7855446,117360,249.28,sip,all
AMAT,2025-12-18,258.45,260.17,251.6,252.87,8741172,118002,254.31,sip,all
AMAT,2025-12-19,255.07,260.67,252.95,255.77,25749747,106189,255.81,sip,all
AMAT,2025-12-22,262.18,262.18,256.96,258.37,4181985,67434,258.68,sip,all
AMAT,2025-12-23,257.52,259.8,257.24,259.58,3791496,48534,259.28,sip,all
AMAT,2025-12-24,259.58,260.83,258.69,260.13,1279508,25178,259.85,sip,all
AMAT,2025-12-26,261.19,262.29,259.55,261.25,1836042,40024,261.36,sip,all
AMAT,2025-12-29,260.17,263.99,259.35,262.4,2601560,53342,261.83,sip,all
AMAT,2025-12-30,263.53,264.36,259.13,259.32,2185127,51675,260.3,sip,all
AMAT,2025-12-31,260.82,261.18,255.32,256.35,3025778,53445,256.9,sip,all
AMAT,2026-01-02,266.42,270.56,264.44,268.2,7553217,119343,267.88,sip,all
AMAT,2026-01-05,275.43,287.02,275.43,283.61,10373348,165930,282.55,sip,all
AMAT,2026-01-06,284.72,297.48,284.72,295.27,7237927,138394,294.19,sip,all
AMAT,2026-01-07,291.27,294.52,289.28,291.47,6148356,100565,291.81,sip,all
AMAT,2026-01-08,289.98,291.19,278.76,280.94,5500686,98705,281.35,sip,all
AMAT,2026-01-09,287.68,302.03,285.79,300.43,9427640,144260,297.36,sip,all
AMAT,2026-01-12,300.97,308.73,299.84,306.48,6612806,112150,306.22,sip,all
AMAT,2026-01-13,306.3,309.87,301.84,304.11,7146521,94267,304.99,sip,all
AMAT,2026-01-14,300.72,301.19,296.26,301.14,6545166,116567,299.32,sip,all
AMAT,2026-01-15,327.26,330.18,318.04,318.29,11262836,188290,323.45,sip,all
AMAT,2026-01-16,324.91,329.36,319.37,326.2,11399265,132531,325.25,sip,all
